Frame: 0, bl_y: 10, bl_x: 13, [0, 0]
Frame: 0, bl_y: 10, bl_x: 14, [0, 0]
Frame: 0, bl_y: 10, bl_x: 15, [0, 0]
Frame: 0, bl_y: 10, bl_x: 16, [0, 0]
Frame: 0, bl_y: 10, bl_x: 17, [0, 0]
Frame: 0, bl_y: 10, bl_x: 18, [0, 0]
Frame: 0, bl_y: 10, bl_x: 19, [0, 0]
Frame: 0, bl_y: 10, bl_x: 20, [0, 0]
Frame: 0, bl_y: 10, bl_x: 21, [0, 0]
Frame: 0, bl_y: 10, bl_x: 22, [0, 0]
Frame: 0, bl_y: 10, bl_x: 23, [0, 0]
Frame: 0, bl_y: 10, bl_x: 24, [0, 0]
Frame: 0, bl_y: 10, bl_x: 25, [0, 0]
